,發生時間,死亡受傷人數,車種,經度,緯度
190,108年01月01日 08時00分00秒,死亡0;受傷1,自用-小客車,120.228936,23.774085
191,108年01月01日 08時00分00秒,死亡0;受傷1,普通輕型-機車;自用-小客車,120.323169,22.623812
192,108年01月01日 08時00分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.36568600000001,23.97164
193,108年01月01日 08時05分00秒,死亡0;受傷1,普通重型-機車,120.811489,21.935805
194,108年01月01日 08時05分00秒,死亡0;受傷1,普通重型-機車,120.652879,22.268462
195,108年01月01日 08時05分00秒,死亡0;受傷1,自用-小客車;行人-人,120.546644,23.924091
196,108年01月01日 08時05分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.561406,24.278726000000002
197,108年01月01日 08時10分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.290881,24.959902
198,108年01月01日 08時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.003386,22.606582
199,108年01月01日 08時10分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車,121.509768,25.009117
200,108年01月01日 08時10分00秒,死亡0;受傷1,大型重型2(250-550C.C.)-機車;腳踏自行車-慢車,120.45356100000001,23.476317
201,108年01月01日 08時12分00秒,死亡0;受傷1,普通重型-機車;計程車-小客車,121.397529,25.059847
202,108年01月01日 08時15分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.539308,25.004143
203,108年01月01日 08時16分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.61473000000001,24.179641
204,108年01月01日 08時20分00秒,死亡0;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人;乘客-人,120.70133100000001,22.146231
205,108年01月01日 08時20分00秒,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,120.543375,23.952903
206,108年01月01日 08時20分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.56950400000001,24.230344
207,108年01月01日 08時20分05秒,死亡0;受傷1,自用-小客車;行人-人,121.31715,24.996712
208,108年01月01日 08時24分36秒,死亡0;受傷1,普通重型-機車,120.25166599999999,22.951537
209,108年01月01日 08時29分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.734205,24.148332
210,108年01月01日 08時29分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.658173,24.258855
211,108年01月01日 08時30分24秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.017357,24.769085999999998
212,108年01月01日 08時35分00秒,死亡0;受傷1,自用-小客車;電動自行車-慢車,120.48723100000001,22.733406
213,108年01月01日 08時35分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.65287099999999,22.259314
214,108年01月01日 08時35分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,120.67745500000001,24.093641
215,108年01月01日 08時37分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,121.759571,24.761039
216,108年01月01日 08時40分00秒,死亡0;受傷1,營業用-大貨車;普通重型-機車,121.043272,22.683878
217,108年01月01日 08時40分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車,121.52561599999999,25.007763
218,108年01月01日 08時43分00秒,死亡0;受傷1,普通重型-機車;自用-大貨車,121.491923,25.026699
219,108年01月01日 08時45分00秒,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.16328200000001,23.049445000000002
220,108年01月01日 08時45分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.27148000000001,23.322708
221,108年01月01日 08時48分00秒,死亡0;受傷1,自用-小客車;其他人-人,120.652874,22.259494
222,108年01月01日 08時50分00秒,死亡0;受傷1,普通重型-機車,120.24618799999999,23.464565
223,108年01月01日 08時51分00秒,死亡0;受傷2,普通重型-機車;行人-人,120.977635,24.809412
224,108年01月01日 08時51分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.640196,23.441563000000002
225,108年01月01日 08時53分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.53902,24.081709
226,108年01月01日 08時53分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.49834399999999,23.849079
